game_id,play_id,old
401326626,401326626273,1
401326627,401326627291,1
401326627,401326627540,1
401326627,401326627689,1
401326627,401326627805,1
401326627,401326627938,1
401326627,4013266271126,1
401326627,4013266271145,1
401326627,4013266271293,1
401326627,4013266271517,1
401326627,4013266271619,1
401326627,4013266271979,1
401326627,4013266272369,1
401326627,4013266272690,1
401326627,4013266273176,1
401326627,4013266273493,1
401326627,4013266273510,1
401326627,4013266273775,1
401326627,4013266273792,1
401326627,4013266273918,1
